題目,答案,連結
請問是誰在2012年的LNG中分享，他在所有配音員面前要吹蠟燭的時候，不小心講出「我催」?,咩姐,"23:30
https://www.youtube.com/watch?v=_YRjsZnhuiE&t=1411s"
"請問下列哪一個類型的阿嬤沒有出現在鳥屎與小熊等人他們一開始的討論中?
(A)搶劫阿嬤
(B)扒手阿嬤
(C)碰瓷阿嬤
(D)軍火阿嬤",(A) 搶劫阿嬤,"24:27
https://www.youtube.com/watch?v=qVlanuaitw8&t=1486s"
請問六嘆說他收到最離譜搞錯的信是某高中畢聯會邀請他協助製作畢業影片，但提到的是某位資深藝人的名字，請問這位藝人是誰?,孫燕姿,"11:35
https://www.youtube.com/watch?v=qHmzx-3B2Qk&t=695s"
請問鳥屎說可口可樂的纖維+必須要在看什麼的路上的seven才買的到?,雨港基隆,"10:00
https://www.youtube.com/watch?v=AZ8lmKniT3o&t=600s"
"請問鳥屎曾經提過如果在山下承受過最大風速是10級的話，那在文化大學仇人坡的級數是多少呢?
(A)4千級
(B)1萬級
(C)6萬級
(D)12萬級","(C)6萬級
","14:09
https://www.youtube.com/watch?v=Uzde33aQaY8&t=832s"
鳥屎曾經吃過一個chili的罐頭，吃的時候覺得這罐的大紅豆口感好不一樣，結果發現包裝上寫著 No Beans，請問這個罐頭已經過期幾年了?,3年,"7:54
https://www.youtube.com/watch?v=63IUEkFF6oU&t=474s"
請問老王說如果修仙的話，她很想學哪個法術?,淨身術,"11:13
https://www.youtube.com/watch?v=1E-yb2LyLWU&t=672s"
請問小嘟撒和媽薄分別是什麼意思?,小蘇打、八毛,"0:51
https://www.youtube.com/watch?v=6Uvi32DxD48&t=51s"
鳥屎曾經遇過一位計程車司機，找不到路又不裝導航，好不容易找到路，還故意等到計程車的表跳了一下才停下來，請問六嘆形容他小時候一定是怎麼樣的人?,老師說作文寫到第十行，他第十行就會是個句點的那種人。,"14:04
https://www.youtube.com/watch?v=jLpgrphon0M&t=843s"
請問Leggy是如何形容手搖飲中的微糖含有多少的糖?,一個花園精靈宿醉的時候吐出來的量,"2:56
https://www.youtube.com/watch?v=-N0yy58jSFw&t=176s"
"當小六分享說隔壁鄰居的小孩會尖叫吵著我不要穿衣服，老王提議說小六也可以尖叫:「我不要___!」
請問老王提議的那句話是什麼?",我不要漲房租,"4:43
https://www.youtube.com/watch?v=Xqj2PJ42bm8&t=284s"
請問施油刊昆甲匹丁料的答案是什麼?,布,"5:36
https://www.youtube.com/watch?v=oAgUWPbYrHc&t=336s"
"在懶熊剪的殘酷二選一精華中，請問哪個生物並沒有出現在對話中?
(A)山羊
(B)X教授
(C)劍龍
(D)長頸鹿
",(D)長頸鹿,"山羊2:17 劍龍3:59 X教授7:34
https://youtu.be/fF44QJiW1wI?si=mMHeLS8PD7TL_RGT"
請問鳥屎說什麼樣的蛋餅就是垃圾蛋餅?,鮪魚蛋餅裡面加洋蔥和美乃滋鋪鮪魚醬,"7:44
https://www.youtube.com/watch?v=ZEnj5v5KYzY&t=464s"
請問小六在懶熊剪的猜人名決定戰2中說出「他很能打嗎?」的那題的答案是什麼?,妙蛙種子,"1:07
https://www.youtube.com/watch?v=uJ_zrHcRrQU&t=67s"
請問在鳥屎因為登不進FB而煩惱的時候，Leggy除了建議使用密碼管理軟體以外，還在旁邊唱歌的歌名叫什麼?,I want it that way,"6:47
https://www.youtube.com/watch?v=HI2iJ4G74n4&t=407s"
請問小六的大腿不小心私訊了一個常拍辣妹照的網紅一個什麼樣的表情符號?,紫色小惡魔表情符號,"15:28
https://www.youtube.com/watch?v=2hUPYcyOxOM&t=928s"
請問有一次李迅問睡覺的八毛去seven要幫忙買什麼嗎，八毛說要買什麼?,彩虹環,"0:29
https://www.youtube.com/watch?v=wZfZ6Hzw0cg&t=29s"
"請問下列哪個政見是由老王提出的?
(A) 早餐店的營業時間輪流延長
(B) 所有糾紛以伊澤瑞爾中路單挑決定
(C) 如果小孩偷籃球機的籃球出來玩，要罰100萬
(D) 按人家家的電鈴不能按超過兩秒
",(C) 如果小孩偷籃球機的籃球出來玩，要罰100萬,"16:52
https://www.youtube.com/watch?v=aa5Y_6GJpP0&t=1011s"
老王在某次精華中不小心講了一句話，她威脅懶熊不準把它剪出來，但懶熊在一開頭就直接放出來了。請問老王說的那句話是什麼?,我大便在褲子上,"0:00
https://youtu.be/puiT_s_Ja8g?si=MUyjIlG-ISleh9H3"
"請依照上下文依序填空
六嘆:我做__(2個字)    徹底    🚗吧
Leggy:你幹嘛wwwww
六嘆:車了    很__(2個字)   蒯    快
Leggy:你喝醉喔XDDD
六嘆:好_(1個字)
",演出、蒯二、脹,"4:42
https://www.youtube.com/watch?v=Drd37a70J_s&t=282s"
請問在情人節，八毛和小六他們是去哪裡吃壽司?,藏壽司,"6:21
https://www.youtube.com/watch?v=VdR7PKmbaEc&t=381s"
請問鳥屎以前在澳美客上班的時候，東西沒了要說什麼?,要說86,"11:32
https://www.youtube.com/watch?v=aK5Bm2wlBYs&t=692s"
請問鳥屎和老王去韓國吃一隻雞的時候，是什麼東西會在鍋底一直的分裂，所以最後又是剪刀石頭布，輸的把它吃完?,馬鈴薯,"6:40
https://www.youtube.com/watch?v=TMosalsZ6C0&t=400s"
請問老王的饒舌名是什麼?,Turtle G,"2:45
https://www.youtube.com/watch?v=1ZRRJMVEj_k&t=165s"
請問在酒吧診所中，觀眾說妹仔針是什麼?,生理食鹽水,"12:01
https://www.youtube.com/watch?v=0VkeMd-hNnI&t=721s"
請問六嘆在2025年收到過哪個藝人的詐騙侵權警告?,Hebe Tien 田馥甄,"21:33
https://www.youtube.com/watch?v=94DZTOnGqWQ&t=1293s"
請問 Angelica 是什麼中藥材的英文?,當歸,"21:40
https://www.youtube.com/watch?v=VM9tLAl-9h8&t=1304s"
請問老王他們是去看什麼電影?結果因為太晚去加上工作人員劃錯位，所以沒看到。而且本來無限期的團體兌換卷變成4個月期限的免費兌換卷，然後餐也沒換到。,刀劍神域劇場版：序列爭戰,"1:15
https://www.youtube.com/watch?v=MNI-g9GgnSw&t=74s"
八毛在明治神宮因為沒有零錢，所以直接投了100塊進去，許了20個願，請問這20個願都是什麼?,要金變,"13:00
https://www.youtube.com/watch?v=2SR-0FfXUF0&t=780s"
"小六有一次去游泳的時候看到現實世界的bug，所以覺得這世界是虛擬的，請問他看到什麼bug?
",有一個人本來在外面打遊戲，在小六進蒸氣室的時候，他也進來，結果小六出來蒸氣室沖洗過後，發現那個人坐在原本那個地方用一樣的姿勢打遊戲，而且身體還是乾的，疑似是分身。,"15:10
https://www.youtube.com/watch?v=5kuRF9N6m4E&t=910s"
